NIT,RAZON SOCIAL,AÑO,MES,SEECCIONAL,CONSUMO M3 MES ACUEDUCTO,CONSUMO M3 MES ALCANTARILLADO
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,AGUADAS,40000,37588
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,ANSERMA,65422,62258
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,ARAUCA,17898,15604
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,ARMA,4254,3474
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,BELALCAZAR,14060,10975
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,CHINCHINA,253835,232236
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,FILADELFIA,11655,10547
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,GUARINOCITO,16828,0
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,KILOMETRO 41,6233,2870
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,LA DORADA,431904,365157
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,MANZANARES,22758,18415
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,MARMATO,14158,8355
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,MARQUETALIA,17628,14427
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,MARULANDA,1775,1711
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,NEIRA,40246,37644
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,PALESTINA,17712,14828
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,RIOSUCIO,61535,57502
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,RISARALDA,16436,12755
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,SALAMINA,31592,30801
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,SAMANA,22672,19181
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,SAN JOSE,7151,3402
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,SUPIA,63895,49542
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,VICTORIA,14718,12469
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JUNIO,VITERBO,50945,44016
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,AGUADAS,38621,36509
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,ANSERMA,64516,61688
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,ARAUCA,17868,0
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,ARMA,4111,3331
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,BELALCAZAR,13994,10669
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,CHINCHINA,279466,257437
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,FILADELFIA,10281,10178
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,GUARINOCITO,16702,0
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,KILOMETRO 41,6044,2797
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,LA DORADA,385097,322279
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,MANZANARES,23821,0
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,MARMATO,14988,8735
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,MARQUETALIA,20551,17109
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,MARULANDA,1802,1742
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,NEIRA,36858,0
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,PALESTINA,19699,16055
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,RIOSUCIO,66402,61831
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,RISARALDA,15935,12204
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,SALAMINA,33610,32743
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,SAMANA,17498,14369
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,SAN JOSE,7004,3438
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,SUPIA,62950,48110
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,VICTORIA,15969,13556
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,JULIO,VITERBO,47001,40410
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,AGUADAS,37972,35296
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,ANSERMA,68925,66300
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,ARAUCA,18829,16692
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,ARMA,4645,3553
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,BELALCAZAR,18143,13412
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,CHINCHINA,266915,250449
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,FILADELFIA,13326,12430
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,GUARINOCITO,19701,0
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,KILOMETRO 41,6377,2863
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,LA DORADA,420841,357659
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,MANZANARES,21405,17303
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,MARMATO,15281,9077
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,MARQUETALIA,22581,18730
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,MARULANDA,2045,1959
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,NEIRA,41712,39107
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,PALESTINA,18284,15454
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,RIOSUCIO,68900,65115
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,RISARALDA,17531,12569
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,SALAMINA,33700,33077
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,SAMANA,19858,15637
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,SAN JOSE,7400,3747
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,SUPIA,72936,55816
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,VICTORIA,14419,12190
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,AGOSTO,VITERBO,54659,47405
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,AGUADAS,45015,42406
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,ANSERMA,70553,67722
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,ARAUCA,18291,16143
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,ARMA,4403,3259
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,BELALCAZAR,17497,12678
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,CHINCHINA,273566,257829
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,FILADELFIA,11442,10367
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,GUARINOCITO,16716,0
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,KILOMETRO 41,6434,2858
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,LA DORADA,403916,339685
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,MANZANARES,24166,19750
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,MARMATO,18063,9063
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,MARQUETALIA,20976,16571
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,MARULANDA,2224,2165
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,NEIRA,40513,38215
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,PALESTINA,18201,14868
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,SEPTIEMBRE,RIOSUCIO,73019,68862
